0_date,chicago,formaldate
2019-01-01,0.5902688232109302,2019-01-01
2019-01-02,0.6177727179095258,2019-01-02
2019-01-03,0.6408334636572276,2019-01-03
2019-01-04,0.6700503417100452,2019-01-04
2019-01-05,0.6233740293709867,2019-01-05
2019-01-06,0.5887271736197908,2019-01-06
2019-01-07,0.6244261511692325,2019-01-07
2019-01-08,0.650425864723888,2019-01-08
2019-01-09,0.6602316062293616,2019-01-09
2019-01-10,0.6661983401741951,2019-01-10
2019-01-11,0.6684132898588871,2019-01-11
2019-01-12,0.5828585940867634,2019-01-12
2019-01-13,0.5779453903346403,2019-01-13
2019-01-14,0.6581041589577641,2019-01-14
2019-01-15,0.6567620262764156,2019-01-15
2019-01-16,0.6587703501082425,2019-01-16
2019-01-17,0.6658302863077985,2019-01-17
2019-01-18,0.6512213784590856,2019-01-18
2019-01-19,0.5450630584819144,2019-01-19
2019-01-20,0.5670772584746298,2019-01-20
2019-01-21,0.6016893499933456,2019-01-21
2019-01-22,0.6377957317108341,2019-01-22
2019-01-23,0.6388005329167049,2019-01-23
2019-01-24,0.6637860096089733,2019-01-24
2019-01-25,0.6348495832284372,2019-01-25
2019-01-26,0.585219972530411,2019-01-26
2019-01-27,0.5679908916804929,2019-01-27
2019-01-28,0.5830709704061914,2019-01-28
2019-01-29,0.6205997471827178,2019-01-29
2019-01-30,0.4181554799263058,2019-01-30
2019-01-31,0.5394467955403467,2019-01-31
2019-02-01,0.6466897756456849,2019-02-01
2019-02-02,0.6216208725066811,2019-02-02
2019-02-03,0.5968367462557727,2019-02-03
2019-02-04,0.6524546877967631,2019-02-04
2019-02-05,0.6602370395766648,2019-02-05
2019-02-06,0.6626776348921408,2019-02-06
2019-02-07,0.6674359491770023,2019-02-07
2019-02-08,0.6691827208340629,2019-02-08
2019-02-09,0.6428077800328577,2019-02-09
2019-02-10,0.5828558725999057,2019-02-10
2019-02-11,0.6550292942875809,2019-02-11
2019-02-12,0.6450152832839681,2019-02-12
2019-02-13,0.6697904415361923,2019-02-13
2019-02-14,0.6981921866219004,2019-02-14
2019-02-15,0.683714955362357,2019-02-15
2019-02-16,0.6342154606255526,2019-02-16
2019-02-17,0.5670837856271118,2019-02-17
2019-02-18,0.6093970572144833,2019-02-18
2019-02-19,0.6747073868555513,2019-02-19
2019-02-20,0.6599227608364979,2019-02-20
2019-02-21,0.6911689725190954,2019-02-21
2019-02-22,0.695476854144472,2019-02-22
2019-02-23,0.6412721772144497,2019-02-23
2019-02-24,0.5899967372006598,2019-02-24
2019-02-25,0.6788255045042547,2019-02-25
2019-02-26,0.6818562009067142,2019-02-26
2019-02-27,0.6884614918579617,2019-02-27
2019-02-28,0.7035669157557324,2019-02-28
2019-03-01,0.6896708518677714,2019-03-01
2019-03-02,0.6497309026735277,2019-03-02
2019-03-03,0.6023920473461156,2019-03-03
2019-03-04,0.6636171872337167,2019-03-04
2019-03-05,0.6773897281316678,2019-03-05
2019-03-06,0.6793884636653119,2019-03-06
2019-03-07,0.6795484365236133,2019-03-07
2019-03-08,0.6807358787473786,2019-03-08
2019-03-09,0.6436490994262559,2019-03-09
2019-03-10,0.6090008280987544,2019-03-10
2019-03-11,0.6804256200770442,2019-03-11
2019-03-12,0.677558619754169,2019-03-12
2019-03-13,0.669038419940467,2019-03-13
2019-03-14,0.6828732005383814,2019-03-14
2019-03-15,0.6930370635018536,2019-03-15
2019-03-16,0.667550899702612,2019-03-16
2019-03-17,0.6234823528002915,2019-03-17
2019-03-18,0.6811820842245455,2019-03-18
2019-03-19,0.701946364889397,2019-03-19
2019-03-20,0.6911939823239697,2019-03-20
2019-03-21,0.7078253897736416,2019-03-21
2019-03-22,0.7207890964940891,2019-03-22
2019-03-23,0.6798127014506581,2019-03-23
2019-03-24,0.6338363038378704,2019-03-24
2019-03-25,0.6938068732427226,2019-03-25
2019-03-26,0.7072911152718765,2019-03-26
2019-03-27,0.7114848531474403,2019-03-27
2019-03-28,0.7152132643997356,2019-03-28
2019-03-29,0.7040465213642343,2019-03-29
2019-03-30,0.6832447513010663,2019-03-30
2019-03-31,0.6486213225685148,2019-03-31
2019-04-01,0.6991889573727188,2019-04-01
2019-04-02,0.702258302508765,2019-04-02
2019-04-03,0.6793341943091858,2019-04-03
2019-04-04,0.6860846588117697,2019-04-04
2019-04-05,0.6982109563578172,2019-04-05
2019-04-06,0.6672046622450162,2019-04-06
2019-04-07,0.6143913785355073,2019-04-07
2019-04-08,0.6918531371222854,2019-04-08
2019-04-09,0.6844307432125675,2019-04-09
2019-04-10,0.6726858016509171,2019-04-10
2019-04-11,0.6826835988416758,2019-04-11
2019-04-12,0.7071576373845003,2019-04-12
2019-04-13,0.6570967712409214,2019-04-13
2019-04-14,0.5685552676455856,2019-04-14
2019-04-15,0.6811163220529425,2019-04-15
2019-04-16,0.7001965009573148,2019-04-16
2019-04-17,0.6875984848083309,2019-04-17
2019-04-18,0.6808645009709776,2019-04-18
2019-04-19,0.7105554131149014,2019-04-19
2019-04-20,0.6803734087496907,2019-04-20
2019-04-21,0.6568705851418536,2019-04-21
2019-04-22,0.692838562168913,2019-04-22
2019-04-23,0.7235029790326497,2019-04-23
2019-04-24,0.7232810902524753,2019-04-24
2019-04-25,0.7286438837740475,2019-04-25
2019-04-26,0.7323299234822924,2019-04-26
2019-04-27,0.6702535330065051,2019-04-27
2019-04-28,0.6772298240573307,2019-04-28
2019-04-29,0.7033526480836306,2019-04-29
2019-04-30,0.7091621736070194,2019-04-30
2019-05-01,0.7174694445760981,2019-05-01
2019-05-02,0.7184578182469484,2019-05-02
2019-05-03,0.728805320283167,2019-05-03
2019-05-04,0.6981127237558146,2019-05-04
2019-05-05,0.6588151278084158,2019-05-05
2019-05-06,0.7054515892041602,2019-05-06
2019-05-07,0.6912960528407216,2019-05-07
2019-05-08,0.7040742086430821,2019-05-08
2019-05-09,0.7085724911190785,2019-05-09
2019-05-10,0.7313851717245831,2019-05-10
2019-05-11,0.6872461817436073,2019-05-11
2019-05-12,0.6611506360780331,2019-05-12
2019-05-13,0.6946635283530679,2019-05-13
2019-05-14,0.7111249481032675,2019-05-14
2019-05-15,0.7163138585380731,2019-05-15
2019-05-16,0.6968107644716056,2019-05-16
2019-05-17,0.7023006891013865,2019-05-17
2019-05-18,0.6690385352269294,2019-05-18
2019-05-19,0.6201535101047111,2019-05-19
2019-05-20,0.7013526055964869,2019-05-20
2019-05-21,0.7000727331353209,2019-05-21
2019-05-22,0.7057641093628594,2019-05-22
2019-05-23,0.7108289498754654,2019-05-23
2019-05-24,0.6975528435909925,2019-05-24
2019-05-25,0.6842729871554158,2019-05-25
2019-05-26,0.6633995702295284,2019-05-26
2019-05-27,0.6051383582804326,2019-05-27
2019-05-28,0.6729194227987744,2019-05-28
2019-05-29,0.7020058795465721,2019-05-29
2019-05-30,0.7000096221290562,2019-05-30
2019-05-31,0.7240045685972833,2019-05-31
2019-06-01,0.6553653945252933,2019-06-01
2019-06-02,0.6545053170886449,2019-06-02
2019-06-03,0.686015343645442,2019-06-03
2019-06-04,0.6869538809047041,2019-06-04
2019-06-05,0.6773781507084278,2019-06-05
2019-06-06,0.6997167623336842,2019-06-06
2019-06-07,0.7197496830199034,2019-06-07
2019-06-08,0.6929815285973879,2019-06-08
2019-06-09,0.662191348125376,2019-06-09
2019-06-10,0.7093855970328938,2019-06-10
2019-06-11,0.7011989719857226,2019-06-11
2019-06-12,0.6898319543675858,2019-06-12
2019-06-13,0.7002677908336588,2019-06-13
2019-06-14,0.7196399742018168,2019-06-14
2019-06-15,0.6803969577110824,2019-06-15
2019-06-16,0.6688278301006825,2019-06-16
2019-06-17,0.7171843924341009,2019-06-17
2019-06-18,0.7091947744107457,2019-06-18
2019-06-19,0.6894791042829354,2019-06-19
2019-06-20,0.7027208513822151,2019-06-20
2019-06-21,0.7086414856879746,2019-06-21
2019-06-22,0.6852170869131582,2019-06-22
2019-06-23,0.6386912123884103,2019-06-23
2019-06-24,0.6742918151919979,2019-06-24
2019-06-25,0.6994080378754989,2019-06-25
2019-06-26,0.6878307544123705,2019-06-26
2019-06-27,0.696306036248599,2019-06-27
2019-06-28,0.7154665239549912,2019-06-28
2019-06-29,0.6807428573510435,2019-06-29
2019-06-30,0.6342346094583267,2019-06-30
2019-07-01,0.6761160551337188,2019-07-01
2019-07-02,0.6863205027612926,2019-07-02
2019-07-03,0.6894348125284995,2019-07-03
2019-07-04,0.6674366208648266,2019-07-04
2019-07-05,0.6819124624928294,2019-07-05
2019-07-06,0.6847589377881577,2019-07-06
2019-07-07,0.6634845973057567,2019-07-07
2019-07-08,0.7123761654749948,2019-07-08
2019-07-09,0.7131906832551534,2019-07-09
2019-07-10,0.7084839947822003,2019-07-10
2019-07-11,0.7188379681484209,2019-07-11
2019-07-12,0.7273843751124008,2019-07-12
2019-07-13,0.698338240812571,2019-07-13
2019-07-14,0.669297407366292,2019-07-14
2019-07-15,0.6956956078532587,2019-07-15
2019-07-16,0.6899394142649676,2019-07-16
2019-07-17,0.6863382299434453,2019-07-17
2019-07-18,0.682701506563711,2019-07-18
2019-07-19,0.6938824733314032,2019-07-19
2019-07-20,0.6687405455800163,2019-07-20
2019-07-21,0.6442159711490967,2019-07-21
2019-07-22,0.7020749656874634,2019-07-22
2019-07-23,0.7175784630849674,2019-07-23
2019-07-24,0.7278827289006378,2019-07-24
2019-07-25,0.730048256062465,2019-07-25
2019-07-26,0.729983496089391,2019-07-26
2019-07-27,0.7251757635438267,2019-07-27
2019-07-28,0.6855881095056441,2019-07-28
2019-07-29,0.686458809375425,2019-07-29
2019-07-30,0.7234535362816875,2019-07-30
2019-07-31,0.7295405071634777,2019-07-31
2019-08-01,0.7281833426657626,2019-08-01
2019-08-02,0.7401108659933641,2019-08-02
2019-08-03,0.7091684206234634,2019-08-03
2019-08-04,0.6807431906303218,2019-08-04
2019-08-05,0.6996809114646342,2019-08-05
2019-08-06,0.6929554858929381,2019-08-06
2019-08-07,0.7095440111526622,2019-08-07
2019-08-08,0.7015920377022052,2019-08-08
2019-08-09,0.7445389241022335,2019-08-09
2019-08-10,0.7187734956705257,2019-08-10
2019-08-11,0.6831243950030695,2019-08-11
2019-08-12,0.6945043605305394,2019-08-12
2019-08-13,0.7057820866801797,2019-08-13
2019-08-14,0.7232647397156271,2019-08-14
2019-08-15,0.7359350101615616,2019-08-15
2019-08-16,0.7359901585691967,2019-08-16
2019-08-17,0.6980129250774599,2019-08-17
2019-08-18,0.6745792527280025,2019-08-18
2019-08-19,0.7180616796337195,2019-08-19
2019-08-20,0.7208788743304028,2019-08-20
2019-08-21,0.7262017923379619,2019-08-21
2019-08-22,0.7403589401893597,2019-08-22
2019-08-23,0.7480323719926374,2019-08-23
2019-08-24,0.7157159634019903,2019-08-24
2019-08-25,0.6755498157732079,2019-08-25
2019-08-26,0.7129243712358816,2019-08-26
2019-08-27,0.7319323819285559,2019-08-27
2019-08-28,0.7385036391574292,2019-08-28
2019-08-29,0.7412279117538794,2019-08-29
2019-08-30,0.7589223778306127,2019-08-30
2019-08-31,0.7294513948546579,2019-08-31
2019-09-01,0.7029286666698411,2019-09-01
2019-09-02,0.6637438300212335,2019-09-02
2019-09-03,0.7225804793847428,2019-09-03
2019-09-04,0.731796686764241,2019-09-04
2019-09-05,0.7428535566914763,2019-09-05
2019-09-06,0.7407614515509579,2019-09-06
2019-09-07,0.7088918986927257,2019-09-07
2019-09-08,0.6437240868959845,2019-09-08
2019-09-09,0.7268006299356259,2019-09-09
2019-09-10,0.7184353357624292,2019-09-10
2019-09-11,0.7145287555466198,2019-09-11
2019-09-12,0.7260931111925719,2019-09-12
2019-09-13,0.7279293251037884,2019-09-13
2019-09-14,0.6998050270158817,2019-09-14
2019-09-15,0.6589925375712566,2019-09-15
2019-09-16,0.7182581055321845,2019-09-16
2019-09-17,0.7260922194457863,2019-09-17
2019-09-18,0.7323324116940206,2019-09-18
2019-09-19,0.7285574183341992,2019-09-19
2019-09-20,0.7380187000438752,2019-09-20
2019-09-21,0.6893021523619471,2019-09-21
2019-09-22,0.6478370729416473,2019-09-22
2019-09-23,0.7358538857404596,2019-09-23
2019-09-24,0.7268021101542179,2019-09-24
2019-09-25,0.7307447014359327,2019-09-25
2019-09-26,0.7343107651235994,2019-09-26
2019-09-27,0.7210662326026221,2019-09-27
2019-09-28,0.6985155773507412,2019-09-28
2019-09-29,0.6565218089198592,2019-09-29
2019-09-30,0.7542203850213576,2019-09-30
2019-10-01,0.7241019961584961,2019-10-01
2019-10-02,0.7183585052748607,2019-10-02
2019-10-03,0.7400325786871648,2019-10-03
2019-10-04,0.7539081310724658,2019-10-04
2019-10-05,0.7224211928285965,2019-10-05
2019-10-06,0.6851326924771151,2019-10-06
2019-10-07,0.7306396960787315,2019-10-07
2019-10-08,0.7390666820012834,2019-10-08
2019-10-09,0.7297704462111292,2019-10-09
2019-10-10,0.7246518387987698,2019-10-10
2019-10-11,0.7187287661234051,2019-10-11
2019-10-12,0.7063161066147637,2019-10-12
2019-10-13,0.6719749865239545,2019-10-13
2019-10-14,0.6848379072716462,2019-10-14
2019-10-15,0.7147249282984861,2019-10-15
2019-10-16,0.7300744171580422,2019-10-16
2019-10-17,0.7161984821501909,2019-10-17
2019-10-18,0.7292828682504111,2019-10-18
2019-10-19,0.7135873109088158,2019-10-19
2019-10-20,0.6742982676353233,2019-10-20
2019-10-21,0.6969683564175707,2019-10-21
2019-10-22,0.7253295180610281,2019-10-22
2019-10-23,0.7167561243813434,2019-10-23
2019-10-24,0.7347310444374382,2019-10-24
2019-10-25,0.7410015516841405,2019-10-25
2019-10-26,0.6940063438396044,2019-10-26
2019-10-27,0.6788891757700272,2019-10-27
2019-10-28,0.723923440895735,2019-10-28
2019-10-29,0.7282250842626904,2019-10-29
2019-10-30,0.7315875512790302,2019-10-30
2019-10-31,0.7441159557805785,2019-10-31
2019-11-01,0.743459690760217,2019-11-01
2019-11-02,0.7036383823125916,2019-11-02
2019-11-03,0.6575774971441533,2019-11-03
2019-11-04,0.7289365775063372,2019-11-04
2019-11-05,0.7414434182141514,2019-11-05
2019-11-06,0.7599183441182029,2019-11-06
2019-11-07,0.7564862666553229,2019-11-07
2019-11-08,0.7351078575516969,2019-11-08
2019-11-09,0.7051661243698569,2019-11-09
2019-11-10,0.6644999498595627,2019-11-10
2019-11-11,0.6762203646462851,2019-11-11
2019-11-12,0.7111054443597429,2019-11-12
2019-11-13,0.7323754164458525,2019-11-13
2019-11-14,0.7252894693559867,2019-11-14
2019-11-15,0.7341514589021454,2019-11-15
2019-11-16,0.7026899718185314,2019-11-16
2019-11-17,0.653989859504593,2019-11-17
2019-11-18,0.7276315191671764,2019-11-18
2019-11-19,0.7317427866218237,2019-11-19
2019-11-20,0.7372720158605754,2019-11-20
2019-11-21,0.7550441101861086,2019-11-21
2019-11-22,0.7622839168365532,2019-11-22
2019-11-23,0.7016283624289402,2019-11-23
2019-11-24,0.6660028543770526,2019-11-24
2019-11-25,0.7203933099042753,2019-11-25
2019-11-26,0.7300415619724896,2019-11-26
2019-11-27,0.7115849133215113,2019-11-27
2019-11-28,0.6845618993781529,2019-11-28
2019-11-29,0.7072463882222779,2019-11-29
2019-11-30,0.7144067104126457,2019-11-30
2019-12-01,0.6458839343240512,2019-12-01
2019-12-02,0.7206202179281684,2019-12-02
2019-12-03,0.7388409599373875,2019-12-03
2019-12-04,0.7338015135353809,2019-12-04
2019-12-05,0.7415642978180751,2019-12-05
2019-12-06,0.7495763884754425,2019-12-06
2019-12-07,0.7020987456349705,2019-12-07
2019-12-08,0.6601588570683145,2019-12-08
2019-12-09,0.7188388950249807,2019-12-09
2019-12-10,0.736152210720311,2019-12-10
2019-12-11,0.7303786531858757,2019-12-11
2019-12-12,0.7331005301472536,2019-12-12
2019-12-13,0.7449217771402185,2019-12-13
2019-12-14,0.7110278514540029,2019-12-14
2019-12-15,0.6556351015735882,2019-12-15
2019-12-16,0.7175796193790106,2019-12-16
2019-12-17,0.7209258004618498,2019-12-17
2019-12-18,0.7220524014769685,2019-12-18
2019-12-19,0.7373840109426967,2019-12-19
2019-12-20,0.7456912961058312,2019-12-20
2019-12-21,0.7075921703560356,2019-12-21
2019-12-22,0.6935494683680058,2019-12-22
2019-12-23,0.7290199248893564,2019-12-23
2019-12-24,0.728688061454736,2019-12-24
2019-12-25,0.6348273614137154,2019-12-25
2019-12-26,0.7020683252653229,2019-12-26
2019-12-27,0.7246460891844846,2019-12-27
2019-12-28,0.70907696013594,2019-12-28
2019-12-29,0.6758999996101904,2019-12-29
2019-12-30,0.7087126097189671,2019-12-30
2019-12-31,0.7396658194389049,2019-12-31
2020-01-01,0.6867127798918086,2020-01-01
2020-01-02,0.7214310488749195,2020-01-02
2020-01-03,0.7424831602138443,2020-01-03
2020-01-04,0.7032160223996166,2020-01-04
2020-01-05,0.6661585312321661,2020-01-05
2020-01-06,0.7395414792927163,2020-01-06
2020-01-07,0.7591292836608659,2020-01-07
2020-01-08,0.7654347825081977,2020-01-08
2020-01-09,0.7719937520008777,2020-01-09
2020-01-10,0.769934721357006,2020-01-10
2020-01-11,0.6869291277365145,2020-01-11
2020-01-12,0.6703677177861094,2020-01-12
2020-01-13,0.771380235661502,2020-01-13
2020-01-14,0.7711999932649203,2020-01-14
2020-01-15,0.7963103358530138,2020-01-15
2020-01-16,0.7783807623941518,2020-01-16
2020-01-17,0.7698334645726658,2020-01-17
2020-01-18,0.7148112184812935,2020-01-18
2020-01-19,0.6796502927404436,2020-01-19
