0_date,newyorkcity,formaldate
2020-01-29,0.7848343900461563,2020-01-29
2020-01-30,0.7946765922999043,2020-01-30
2020-01-31,0.8091932419769475,2020-01-31
2020-02-01,0.692753079071175,2020-02-01
2020-02-02,0.6561118664887041,2020-02-02
2020-02-03,0.7473529374922132,2020-02-03
2020-02-04,0.7627314285482171,2020-02-04
2020-02-05,0.7634766370741428,2020-02-05
2020-02-06,0.7545292616153532,2020-02-06
2020-02-07,0.7674239466383322,2020-02-07
2020-02-08,0.7118695964730483,2020-02-08
2020-02-09,0.6793075917946605,2020-02-09
2020-02-10,0.7575864394712114,2020-02-10
2020-02-11,0.7635130397009818,2020-02-11
2020-02-12,0.7702392146295425,2020-02-12
2020-02-13,0.7597904437113636,2020-02-13
2020-02-14,0.7843354668990359,2020-02-14
2020-02-15,0.7183589143706914,2020-02-15
2020-02-16,0.7088111729058004,2020-02-16
2020-02-17,0.7273882442704124,2020-02-17
2020-02-18,0.7590564885499962,2020-02-18
2020-02-19,0.7474140271879399,2020-02-19
2020-02-20,0.7624890282655856,2020-02-20
2020-02-21,0.7707022082180125,2020-02-21
2020-02-22,0.7299007584203997,2020-02-22
2020-02-23,0.7090737297211698,2020-02-23
2020-02-24,0.7822404064307901,2020-02-24
2020-02-25,0.5810013288745497,2020-02-25
2020-02-26,0.7865457871036209,2020-02-26
2020-02-27,0.7841189843669037,2020-02-27
2020-02-28,0.7929627759861154,2020-02-28
2020-02-29,0.7348699247710078,2020-02-29
2020-03-01,0.6561380382831133,2020-03-01
2020-03-02,0.7590793103441218,2020-03-02
2020-03-03,0.7642019001396715,2020-03-03
2020-03-04,0.7650096042553893,2020-03-04
2020-03-05,0.7810062166866079,2020-03-05
2020-03-06,0.7820484342833455,2020-03-06
2020-03-07,0.7137308128799503,2020-03-07
2020-03-08,0.6961386052480435,2020-03-08
2020-03-09,0.7713956754020117,2020-03-09
2020-03-10,0.7557608153069809,2020-03-10
2020-03-11,0.7488030747487784,2020-03-11
2020-03-12,0.730650241262686,2020-03-12
2020-03-13,0.734944412386667,2020-03-13
2020-03-14,0.6544222275387975,2020-03-14
2020-03-15,0.6204619418004436,2020-03-15
2020-03-16,0.6208674699697286,2020-03-16
2020-03-17,0.6035349136667926,2020-03-17
2020-03-18,0.5981143657937656,2020-03-18
2020-03-19,0.5696339532790201,2020-03-19
2020-03-20,0.5822364568263797,2020-03-20
2020-03-21,0.5313098103986506,2020-03-21
2020-03-22,0.5019419793705393,2020-03-22
2020-03-23,0.4764745912478481,2020-03-23
2020-03-24,0.5220180385850159,2020-03-24
2020-03-25,0.5197187514931936,2020-03-25
2020-03-26,0.5173806310919111,2020-03-26
2020-03-27,0.5264978320266134,2020-03-27
2020-03-28,0.4617885892419962,2020-03-28
2020-03-29,0.4436489250358861,2020-03-29
2020-03-30,0.4894901479317021,2020-03-30
2020-03-31,0.4836408006248377,2020-03-31
2020-04-01,0.4583043526294032,2020-04-01
2020-04-02,0.4452880944163247,2020-04-02
2020-04-03,0.4373174841334341,2020-04-03
2020-04-04,0.4569343104080159,2020-04-04
2020-04-05,0.4442103046070717,2020-04-05
2020-04-06,0.4658373092735182,2020-04-06
2020-04-07,0.4577352453713838,2020-04-07
2020-04-08,0.4588763493726749,2020-04-08
2020-04-09,0.4422613905218685,2020-04-09
2020-04-10,0.4624489237913622,2020-04-10
2020-04-11,0.4603155814417509,2020-04-11
2020-04-12,0.4256211619263553,2020-04-12
2020-04-13,0.4181908370022986,2020-04-13
2020-04-14,0.4716535490288064,2020-04-14
2020-04-15,0.4695477490846886,2020-04-15
2020-04-16,0.4597913583880547,2020-04-16
2020-04-17,0.4783782593266645,2020-04-17
2020-04-18,0.4595213527177752,2020-04-18
2020-04-19,0.4608859917106182,2020-04-19
2020-04-20,0.4755387827981183,2020-04-20
2020-04-21,0.4593997080504602,2020-04-21
2020-04-22,0.4949782929936616,2020-04-22
2020-04-23,0.485499151668689,2020-04-23
2020-04-24,0.4777035893335087,2020-04-24
2020-04-25,0.5124765478977062,2020-04-25
2020-04-26,0.4322912866873056,2020-04-26
2020-04-27,0.4872998531418175,2020-04-27
2020-04-28,0.5310852784687509,2020-04-28
2020-04-29,0.4932805271548005,2020-04-29
2020-04-30,0.5011267452798172,2020-04-30
2020-05-01,0.4714997920317767,2020-05-01
2020-05-02,0.5289029968439573,2020-05-02
2020-05-03,0.4833469745278871,2020-05-03
2020-05-04,0.4767136548399575,2020-05-04
2020-05-05,0.483493869403749,2020-05-05
2020-05-06,0.4639426874192094,2020-05-06
2020-05-07,0.4966454927221773,2020-05-07
2020-05-08,0.4753236633463541,2020-05-08
2020-05-09,0.4854942237270835,2020-05-09
2020-05-10,0.5048421567109481,2020-05-10
2020-05-11,0.4594288713372903,2020-05-11
2020-05-12,0.4982050419646749,2020-05-12
2020-05-13,0.5059105797948549,2020-05-13
2020-05-14,0.5145482328338474,2020-05-14
2020-05-15,0.538325704625052,2020-05-15
2020-05-16,0.5525406336305357,2020-05-16
2020-05-17,0.5023089842975194,2020-05-17
2020-05-18,0.5118168444254857,2020-05-18
2020-05-19,0.5031808875141692,2020-05-19
2020-05-20,0.521771681691603,2020-05-20
2020-05-21,0.5292721962431823,2020-05-21
2020-05-22,0.5548374885310737,2020-05-22
2020-05-23,0.4950205538523615,2020-05-23
2020-05-24,0.5508051784182794,2020-05-24
2020-05-25,0.5432960103285576,2020-05-25
2020-05-26,0.5520853147403562,2020-05-26
2020-05-27,0.5596903117853603,2020-05-27
2020-05-28,0.5373813164212878,2020-05-28
2020-05-29,0.580440369134276,2020-05-29
2020-05-30,0.5991819370364375,2020-05-30
2020-05-31,0.5569002979596049,2020-05-31
2020-06-01,0.5637530954745229,2020-06-01
2020-06-02,0.536110544795825,2020-06-02
2020-06-03,0.5417415026272834,2020-06-03
2020-06-04,0.5760138799688078,2020-06-04
2020-06-05,0.5629312931084439,2020-06-05
2020-06-06,0.5835634653251273,2020-06-06
2020-06-07,0.574066257301943,2020-06-07
2020-06-08,0.5869329229368669,2020-06-08
2020-06-09,0.5857531096982482,2020-06-09
2020-06-10,0.5725757866536911,2020-06-10
2020-06-11,0.5431873050351899,2020-06-11
2020-06-12,0.5999538263009323,2020-06-12
2020-06-13,0.6113947300422781,2020-06-13
2020-06-14,0.5840548193635345,2020-06-14
2020-06-15,0.571624572458032,2020-06-15
2020-06-16,0.581825971230942,2020-06-16
2020-06-17,0.5817285537807787,2020-06-17
2020-06-18,0.605849689180277,2020-06-18
2020-06-19,0.6148673623208569,2020-06-19
2020-06-20,0.6187982526840934,2020-06-20
2020-06-21,0.6071714431033608,2020-06-21
2020-06-22,0.6128387130812706,2020-06-22
2020-06-23,0.6199465357270135,2020-06-23
2020-06-24,0.6127797979635833,2020-06-24
2020-06-25,0.6173160557546467,2020-06-25
2020-06-26,0.6324990986917112,2020-06-26
2020-06-27,0.6033613080818789,2020-06-27
2020-06-28,0.5995192782562228,2020-06-28
2020-06-29,0.6326982782654443,2020-06-29
2020-06-30,0.6333793072192977,2020-06-30
2020-07-01,0.6213814618743617,2020-07-01
2020-07-02,0.6439479011638941,2020-07-02
2020-07-03,0.6401711894655329,2020-07-03
2020-07-04,0.6356554463329404,2020-07-04
2020-07-05,0.6061558027612668,2020-07-05
2020-07-06,0.6066473586200095,2020-07-06
2020-07-07,0.6116556974607317,2020-07-07
2020-07-08,0.6311545642235304,2020-07-08
2020-07-09,0.6422400296138969,2020-07-09
2020-07-10,0.5892770646884988,2020-07-10
2020-07-11,0.6229084541203016,2020-07-11
2020-07-12,0.6278112531653108,2020-07-12
2020-07-13,0.6334485415170887,2020-07-13
2020-07-14,0.6418279516160325,2020-07-14
2020-07-15,0.6517341122099822,2020-07-15
2020-07-16,0.6423550781976319,2020-07-16
2020-07-17,0.6318890273239579,2020-07-17
2020-07-18,0.6394224790950961,2020-07-18
2020-07-19,0.6077678532105666,2020-07-19
2020-07-20,0.6274919072096729,2020-07-20
2020-07-21,0.6418053409629569,2020-07-21
2020-07-22,0.6273094250258622,2020-07-22
2020-07-23,0.6260176711681749,2020-07-23
2020-07-24,0.6375110930862943,2020-07-24
2020-07-25,0.6476855115414122,2020-07-25
2020-07-26,0.6221467359344792,2020-07-26
2020-07-27,0.6207373935082314,2020-07-27
2020-07-28,0.6462241964036185,2020-07-28
2020-07-29,0.6596766457336716,2020-07-29
2020-07-30,0.6638833730599168,2020-07-30
2020-07-31,0.6692404062047027,2020-07-31
2020-08-01,0.6667349615206564,2020-08-01
2020-08-02,0.6234719331948144,2020-08-02
2020-08-03,0.6457565194410467,2020-08-03
2020-08-04,0.5885442595353232,2020-08-04
2020-08-05,0.6595008014522181,2020-08-05
2020-08-06,0.6561041790919274,2020-08-06
2020-08-07,0.6775337420565573,2020-08-07
2020-08-08,0.6760215296296077,2020-08-08
2020-08-09,0.6310912584765003,2020-08-09
2020-08-10,0.6548385216202479,2020-08-10
2020-08-11,0.6600964290978902,2020-08-11
2020-08-12,0.6444515759173649,2020-08-12
2020-08-13,0.6410228251796202,2020-08-13
2020-08-14,0.6955293607914645,2020-08-14
2020-08-15,0.6875458191935769,2020-08-15
2020-08-16,0.6132716435069342,2020-08-16
2020-08-17,0.6464591904880289,2020-08-17
2020-08-18,0.6689468499534726,2020-08-18
2020-08-19,0.6559236423904038,2020-08-19
2020-08-20,0.6818400041025761,2020-08-20
2020-08-21,0.6879101238632978,2020-08-21
2020-08-22,0.6974876932084236,2020-08-22
2020-08-23,0.6350872320817014,2020-08-23
2020-08-24,0.6627621603117579,2020-08-24
2020-08-25,0.6497349236426561,2020-08-25
2020-08-26,0.6751759465511409,2020-08-26
2020-08-27,0.6691222190847411,2020-08-27
2020-08-28,0.6773014022365861,2020-08-28
2020-08-29,0.6586825897445778,2020-08-29
2020-08-30,0.6517597905981541,2020-08-30
2020-08-31,0.6758220063434582,2020-08-31
2020-09-01,0.6666110858779974,2020-09-01
2020-09-02,0.6655028436164575,2020-09-02
2020-09-03,0.6700147659634785,2020-09-03
2020-09-04,0.6951972622683267,2020-09-04
2020-09-05,0.6961785635266446,2020-09-05
2020-09-06,0.6684092697231594,2020-09-06
2020-09-07,0.6343102413816202,2020-09-07
2020-09-08,0.6563182313444307,2020-09-08
2020-09-09,0.6592348418396551,2020-09-09
2020-09-10,0.6458148074048069,2020-09-10
2020-09-11,0.6866971599968834,2020-09-11
2020-09-12,0.6674024421525311,2020-09-12
2020-09-13,0.6245930296167423,2020-09-13
2020-09-14,0.6489329776401358,2020-09-14
2020-09-15,0.6567913874180099,2020-09-15
2020-09-16,0.6441960737916372,2020-09-16
2020-09-17,0.6504237641770605,2020-09-17
2020-09-18,0.6794969938605854,2020-09-18
2020-09-19,0.6852323993853695,2020-09-19
2020-09-20,0.6493637006624731,2020-09-20
2020-09-21,0.6390194114996878,2020-09-21
2020-09-22,0.6532860963014022,2020-09-22
2020-09-23,0.657512182083541,2020-09-23
2020-09-24,0.6645344290201334,2020-09-24
2020-09-25,0.6911786461432587,2020-09-25
2020-09-26,0.6819642222305365,2020-09-26
2020-09-27,0.6460320735106794,2020-09-27
2020-09-28,0.6506032651475577,2020-09-28
2020-09-29,0.6344683106842252,2020-09-29
2020-09-30,0.6701621209318664,2020-09-30
2020-10-01,0.6921917250793272,2020-10-01
2020-10-02,0.6870271456455838,2020-10-02
2020-10-03,0.6899649186224908,2020-10-03
2020-10-04,0.6450493925230538,2020-10-04
2020-10-05,0.6637772912253129,2020-10-05
2020-10-06,0.6560350416697114,2020-10-06
2020-10-07,0.6623397453099958,2020-10-07
2020-10-08,0.668032449357374,2020-10-08
2020-10-09,0.6917269020040683,2020-10-09
2020-10-10,0.6852636170029982,2020-10-10
2020-10-11,0.6464808352275827,2020-10-11
2020-10-12,0.5857807203869968,2020-10-12
2020-10-13,0.623291819378881,2020-10-13
2020-10-14,0.6703713383221682,2020-10-14
2020-10-15,0.6724246700748342,2020-10-15
2020-10-16,0.6481576364837797,2020-10-16
2020-10-17,0.6860378405828065,2020-10-17
2020-10-18,0.6255511202195554,2020-10-18
2020-10-19,0.6417808949005294,2020-10-19
2020-10-20,0.6431353730810555,2020-10-20
2020-10-21,0.6703236258215302,2020-10-21
2020-10-22,0.665308224136848,2020-10-22
2020-10-23,0.6808069540729341,2020-10-23
2020-10-24,0.6819737127533584,2020-10-24
2020-10-25,0.6370812615152591,2020-10-25
2020-10-26,0.6201172902741909,2020-10-26
2020-10-27,0.6558537432209661,2020-10-27
2020-10-28,0.6466843397990232,2020-10-28
2020-10-29,0.6171244315629381,2020-10-29
2020-10-30,0.6526780301330567,2020-10-30
2020-10-31,0.6892862338800645,2020-10-31
2020-11-01,0.6116097246880274,2020-11-01
2020-11-02,0.6416514955500311,2020-11-02
2020-11-03,0.64850845174299,2020-11-03
2020-11-04,0.659232076208641,2020-11-04
2020-11-05,0.6673307541235024,2020-11-05
2020-11-06,0.6953405305424464,2020-11-06
2020-11-07,0.6994663264426626,2020-11-07
2020-11-08,0.6430137948416093,2020-11-08
2020-11-09,0.6509258358869746,2020-11-09
2020-11-10,0.6631514823086203,2020-11-10
2020-11-11,0.6388831039071424,2020-11-11
2020-11-12,0.6421225812998353,2020-11-12
2020-11-13,0.6608999058426948,2020-11-13
2020-11-14,0.6663502328903507,2020-11-14
2020-11-15,0.6198531088675915,2020-11-15
2020-11-16,0.6412079721474853,2020-11-16
2020-11-17,0.6503998394963162,2020-11-17
2020-11-18,0.6340780751944526,2020-11-18
2020-11-19,0.6563099403544465,2020-11-19
2020-11-20,0.6778980690575316,2020-11-20
2020-11-21,0.6875429345810128,2020-11-21
2020-11-22,0.6275692446234511,2020-11-22
2020-11-23,0.6216685910930622,2020-11-23
2020-11-24,0.6593034152827765,2020-11-24
2020-11-25,0.646476469149297,2020-11-25
2020-11-26,0.6150483684289217,2020-11-26
2020-11-27,0.6829352037203938,2020-11-27
2020-11-28,0.6749753383544721,2020-11-28
2020-11-29,0.6274113256583851,2020-11-29
2020-11-30,0.5948144926818766,2020-11-30
2020-12-01,0.6445178306246279,2020-12-01
2020-12-02,0.6317690975412938,2020-12-02
2020-12-03,0.6466924282020571,2020-12-03
2020-12-04,0.6501459821216036,2020-12-04
2020-12-05,0.6287430359443898,2020-12-05
2020-12-06,0.6106738989169939,2020-12-06
2020-12-07,0.634340013496738,2020-12-07
2020-12-08,0.6431264214991296,2020-12-08
2020-12-09,0.6361196252514132,2020-12-09
2020-12-10,0.6364447273719518,2020-12-10
2020-12-11,0.6794223641419195,2020-12-11
2020-12-12,0.6579462444277882,2020-12-12
2020-12-13,0.6324906202650884,2020-12-13
2020-12-14,0.6041429302949166,2020-12-14
2020-12-15,0.6462912915970451,2020-12-15
2020-12-16,0.5957948581240051,2020-12-16
2020-12-17,0.5117685088538303,2020-12-17
2020-12-18,0.6514004958990203,2020-12-18
2020-12-19,0.6370452175963759,2020-12-19
2020-12-20,0.6012630957992459,2020-12-20
2020-12-21,0.636593434469709,2020-12-21
2020-12-22,0.6550361320643339,2020-12-22
2020-12-23,0.6894451467536235,2020-12-23
2020-12-24,0.6790512006606292,2020-12-24
2020-12-25,0.5708339154004782,2020-12-25
2020-12-26,0.643927627424194,2020-12-26
2020-12-27,0.6216144489554803,2020-12-27
2020-12-28,0.6516309612106101,2020-12-28
2020-12-29,0.6604907428708358,2020-12-29
2020-12-30,0.6766710225249646,2020-12-30
2020-12-31,0.669270223517215,2020-12-31
2021-01-01,0.5893308329976004,2021-01-01
2021-01-02,0.643758763006823,2021-01-02
2021-01-03,0.5668812752486783,2021-01-03
2021-01-04,0.6024069712467285,2021-01-04
2021-01-05,0.6088384563052887,2021-01-05
2021-01-06,0.6257429691056386,2021-01-06
2021-01-07,0.615384840147666,2021-01-07
2021-01-08,0.6264205654810793,2021-01-08
2021-01-09,0.6241437476401824,2021-01-09
2021-01-10,0.5990871531205697,2021-01-10
2021-01-11,0.6243570576848929,2021-01-11
2021-01-12,0.6291773736201816,2021-01-12
2021-01-13,0.6359478290791352,2021-01-13
2021-01-14,0.6428034237525218,2021-01-14
2021-01-15,0.6606495796832471,2021-01-15
2021-01-16,0.6304556638120914,2021-01-16
2021-01-17,0.6251742940951003,2021-01-17
2021-01-18,0.6295601399212278,2021-01-18
2021-01-19,0.6342301138840495,2021-01-19
2021-01-20,0.6205308312306949,2021-01-20
2021-01-21,0.6414923716108384,2021-01-21
2021-01-22,0.6503598060097239,2021-01-22
2021-01-23,0.6307675405044727,2021-01-23
2021-01-24,0.5890640986116958,2021-01-24
2021-01-25,0.6256413080440018,2021-01-25
2021-01-26,0.5939609998891402,2021-01-26
2021-01-27,0.6273159937815478,2021-01-27
2021-01-28,0.6238553014875668,2021-01-28
2021-01-29,0.6317413625777539,2021-01-29
2021-01-30,0.6320761194472748,2021-01-30
2021-01-31,0.5931559608416794,2021-01-31
2021-02-01,0.3991101023691218,2021-02-01
2021-02-02,0.4973915842899474,2021-02-02
2021-02-03,0.6054472182591178,2021-02-03
2021-02-04,0.6319266484957015,2021-02-04
2021-02-05,0.6394109952497837,2021-02-05
2021-02-06,0.6474142609246538,2021-02-06
2021-02-07,0.5279066815246426,2021-02-07
2021-02-08,0.6097443575398926,2021-02-08
2021-02-09,0.6079373462458965,2021-02-09
2021-02-10,0.6274833163704484,2021-02-10
2021-02-11,0.6260756478664471,2021-02-11
2021-02-12,0.6472808883734242,2021-02-12
2021-02-13,0.6469134287421899,2021-02-13
2021-02-14,0.6355946170577607,2021-02-14
2021-02-15,0.6226429407322269,2021-02-15
2021-02-16,0.6432983399589923,2021-02-16
2021-02-17,0.6633735954558065,2021-02-17
2021-02-18,0.558058406126039,2021-02-18
2021-02-19,0.6263282358804108,2021-02-19
2021-02-20,0.6539587527574385,2021-02-20
2021-02-21,0.6185775281812654,2021-02-21
2021-02-22,0.614655515321671,2021-02-22
2021-02-23,0.6380033596951845,2021-02-23
2021-02-24,0.6573314175158569,2021-02-24
2021-02-25,0.6525042560686461,2021-02-25
